АВТОМОБИЛЬ	ССЫЛКА_НА_ФОТО	СТАТУС	ИСТОЧНИК
Lada 110	https://commons.wikimedia.org/wiki/Special:FilePath/LADA-110.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1434520
Daewoo Arcadia	https://commons.wikimedia.org/wiki/Special:FilePath/20100812%20daewoo%20arcadia%2001.jpg	WIKIDATA	https://www.wikidata.org/entity/Q15951013
Škoda 100	https://commons.wikimedia.org/wiki/Special:FilePath/%C5%A0koda%20v%20Praze%20%282%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q391822
Peugeot 1007	https://commons.wikimedia.org/wiki/Special:FilePath/Peugeot%201007%20demo.jpg	WIKIDATA	https://www.wikidata.org/entity/Q542182
Citroën 2 CV Manx	https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/1994_Manx_on_a_Citroen_Dyane_6_or_2CV_chassis_600cc.jpg/1280px-1994_Manx_on_a_Citroen_Dyane_6_or_2CV_chassis_600cc.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	COMMONS	https://commons.wikimedia.org/wiki/File:1994_Manx_on_a_Citroen_Dyane_6_or_2CV_chassis_600cc.jpg
Suzuki Aerio	https://commons.wikimedia.org/wiki/Special:FilePath/%2702-%2704%20Suzuki%20Aerio%20Sedan.JPG	WIKIDATA	https://www.wikidata.org/entity/Q743470
Mitsubishi 360	https://commons.wikimedia.org/wiki/Special:FilePath/Mitsubishi-360.jpg	WIKIDATA	https://www.wikidata.org/entity/Q919104
Opel (Olympia) Rekord P1	https://commons.wikimedia.org/wiki/Special:FilePath/Opel%20Rekord%201700%20P1%20%282008-06-14%29%20ret.jpg	WIKIDATA	https://www.wikidata.org/entity/Q2025260
SEAT 1200 Sport	https://commons.wikimedia.org/wiki/Special:FilePath/1977%20Seat%201200%20Sport%20%22Bocanegra%22%20%284647425413%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1750183
Hyundai Terracan	https://commons.wikimedia.org/wiki/Special:FilePath/Hyundai%20Terracan%20front.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482697
Chevrolet Captiva	https://commons.wikimedia.org/wiki/Special:FilePath/Chevrolet%20Captiva%201.5%20Premier%20PHEV%20Hybrid%202026%20%282%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q482542
Proton Arena	https://commons.wikimedia.org/wiki/Special:FilePath/2003%20Proton%20Jumbuck%20%28C90%29%20GLSi%20utility%20%2823352098994%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q951489
Daihatsu Altis	https://commons.wikimedia.org/wiki/Special:FilePath/2021-2023%20Daihatsu%20Altis%201.png	WIKIDATA	https://www.wikidata.org/entity/Q1157541
Smart Crossblade	https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Smart_Crossblade_DSC_0686.jpg/1280px-Smart_Crossblade_DSC_0686.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=thumbnail	COMMONS	https://commons.wikimedia.org/wiki/File:Smart_Crossblade_DSC_0686.jpg
Lada 111	https://commons.wikimedia.org/wiki/Special:FilePath/Lada%2021112%20%286%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q1994729
Dacia Sandero/Renault Sandero	https://commons.wikimedia.org/wiki/Special:FilePath/Dacia%20Sandero%20III%201X7A0382.jpg	WIKIDATA	https://www.wikidata.org/entity/Q926562
Škoda 1000 MB	https://commons.wikimedia.org/wiki/Special:FilePath/Skoda%201000%20MB%20%281965%29%20%28cropped%29.jpg	WIKIDATA	https://www.wikidata.org/entity/Q391825
